source,destination,status
# Généré par scripts/woo-to-shopify-products.ts (docs/07 §6). Ne pas éditer à la main : relancer le script.
/produkt/masc-do-zastosowan-w-infekcjach-wirusowych,/receptury/masc-do-zastosowan-w-infekcjach-wirusowych,301
/produkt/olej-terapeutyczny-borelia,/receptury/olej-terapeutyczny-borelarom,301
/produkt/tradzik-tradzik-rozowaty-2,/receptury/tradzik-tradzik-rozowaty,301
/produkt/nawracajace-anginy-dorosli,/receptury/nawracajace-anginy-krople-doustne-dorosli,301
/produkt/zapalenie-gardla-krtani-afonia-2-receptury,/receptury/zapalenie-gardla-krtani-afonia-dwie-receptury,301
/produkt/auto-draft,/receptury/kandydoza-ukladu-pokarmowego,301
/produkt/kolka-watrobowa,/receptury/kolka-watrobowa,301
/produkt/anginy-u-starszych-i-mlodszych,/receptury/anginy-u-starszych-i-mlodszych,301
/produkt/zapalenie-oskrzeli-dorosli,/receptury/zapalenie-oskrzeli-dorosli,301
/produkt/zapalenie-oskrzeli-u-dzieci-od-30-miesiaca-do-12-lat,/receptury/zapalenie-oskrzeli-u-dzieci-od-30-miesiaca-do-12-lat,301
/produkt/menopauza,/receptury/menopauza,301
/produkt/andropauza-przekwitanie-u-mezczyzn,/receptury/andropauza-czyli-przekwitanie-u-mezczyzn,301
/produkt/egzema-receptura,/receptury/egzema-dorosli-kobiety-w-ciazy-i-karmiace-piersia,301
/produkt/nadcisnienie-receptura,/receptury/nadcisnienie,301
/produkt/niedocisnienie-receptura,/receptury/niedocisnienie,301
/produkt/bezsennosc-u-doroslych-i-dzieci-receptura,/receptury/bezsennosc-u-doroslych-i-dzieci,301
/produkt/zapalenie-ucha-u-dzieci-i-doroslych-receptura,/receptury/zapalenie-ucha-u-dzieci-i-doroslych,301
/produkt/chroniczne-zaparcia-receptura,/receptury/chroniczne-zaparcia,301
/produkt/bolesne-miesiaczki-receptura,/receptury/bolesne-miesiaczki,301
/produkt/grzybica-paznokci-receptura,/receptury/grzybica-paznokci,301
/produkt/ciezkie-nogi-drenaz-limfatyczny-receptura,/receptury/ciezkie-nogi-drenaz-limfatyczny,301
/produkt/bazylia-10-ml-2,/produkt/bazylia-bio,301
/produkt/czystek-ladanowy,/produkt/czystek-ladanowy-bio,301
/produkt/kocanka-wloska-5-ml,/produkt/kocanka-wloska-bio,301
/produkt/394,/produkt/lawenda-waskolistna-bio,301
/produkt/ylang-ylang-10-ml,/produkt/ylang-ylang,301
/produkt/cytryna-10-ml,/produkt/cytryna-bio,301
/produkt/ravintsara-10-ml,/produkt/ravintsara-bio,301
/produkt/saro-10-ml,/produkt/saro-bio,301
/produkt/tea-tree-drzewo-herbaciane-10-ml,/produkt/tea-tree-drzewo-herbaciane-bio,301
/produkt/rumianek-rzymski,/produkt/rumianek-rzymski-bio,301
/produkt/oregano-origanum-compactum,/produkt/oregano-origanum-compactum-bio,301
/produkt/majeranek-ogrodowy,/produkt/majeranek-ogrodowy-bio,301
/produkt/geranium-rosat-2-2,/produkt/geranium-rosat-bio,301
/produkt/rozmaryn-ct-cyneol,/produkt/rozmaryn-ct-cyneol-bio,301
/produkt/rozmaryn-ct-werbenon,/produkt/rozmaryn-ct-werbenon-bio,301
/produkt/eukaliptus-galkowy-2,/produkt/eukaliptus-galkowy-bio,301
/produkt/tymianek-ct-linalol,/produkt/tymianek-ct-linalol-bio,301
/produkt/tymianek-ct-tymol,/produkt/tymianek-ct-tymol-bio,301
/produkt/cynamon-cejlonski-kora,/produkt/cynamon-cejlonski-kora-bio,301
/produkt/eukaliptus-cytrynowy-2,/produkt/eukaliptus-cytrynowy-bio,301
/produkt/kurkuma-2,/produkt/kurkuma-bio,301
/produkt/laur-2,/produkt/laur-bio,301
/produkt/lawenda-spika-2,/produkt/lawenda-spika-bio,301
/produkt/mieta-pieprzowa-2,/produkt/mieta-pieprzowa-bio,301
/produkt/rumianek-niemiecki-2,/produkt/rumianek-niemiecki-bio,301
/produkt/sosna-zwyczajna,/produkt/sosna-zwyczajna-bio,301
/produkt/trawa-cytrynowa-2,/produkt/trawa-cytrynowa-bio,301
/produkt/eukaliptus-ct-radiata,/produkt/eukaliptus-ct-radiata-bio,301
/produkt/olejek-eteryczny-manuka,/produkt/manuka,301
/produkt/czaber,/produkt/czaber-bio,301
/produkt/niaouli,/produkt/niaouli-bio,301
/produkt/olibanum-kadzidlowiec,/produkt/olibanum-kadzidlowiec-bio,301
/produkt/pomarancza,/produkt/pomarancza-bio,301
/produkt/gozdzik-2,/produkt/gozdzik-bio,301
/produkt/palmarosa,/produkt/palmarosa-bio,301
/produkt/paczula,/produkt/paczula-bio,301
/produkt/kardamon,/produkt/kardamon-bio,301
/produkt/baktemix-i-suplement,/produkt/baktemix-i-suplement-bio,301
/produkt/cedr-atlaski,/produkt/cedr-atlaski-bio,301
/produkt/glinka-biala,/produkt/glinka-biala-bio,301
/produkt/wetiweria,/produkt/wetiweria-bio,301
/produkt/olejek-eteryczny-golteria-rozeslana,/produkt/golteria-rozeslana-bio,301
/produkt/roza-damascenska-hydrolat-bio,/produkt/hydrolat-roza-damascenska-bio,301
/produkt/czystek-hydrolat-bio-2,/produkt/hydrolat-czystek-bio,301
/produkt/geranium-hydrolat-bio,/produkt/hydrolat-geranium-bio,301
/produkt/kwiat-pomaranczy-hydrolat-bio,/produkt/hydrolat-kwiat-pomaranczy-bio,301
/produkt/rumianek-rzymski-hydrolat-bio,/produkt/hydrolat-rumianek-rzymski-bio,301
/produkt/mieta-pieprzowa-hydrolat-bio,/produkt/hydrolat-mieta-pieprzowa-bio,301
/produkt/lawenda-waskolistna-hydrolat-bio,/produkt/hydrolat-lawenda-waskolistna-bio,301
/produkt/kocanka-wloska-hydrolat-bio,/produkt/hydrolat-kocanka-wloska-bio,301
/produkt/rozmaryn-ct-werbenon-hydrolat-bio,/produkt/hydrolat-rozmaryn-ct-werbenon-bio,301
/produkt/roza-damascenska-bio-5-ml,/produkt/roza-damascenska-bio,301
/produkt/bergamotka-bio-olejek-klasy-terapeutycznej,/produkt/bergamotka-bio,301
/produkt/copaiba-kopaiwa-bio-5-ml,/produkt/copaiba-kopaiwa-bio,301
/produkt/drzewo-rozane-bio-5ml,/produkt/drzewo-rozane-bio,301
/produkt/roza-damascenska-absolut-bio-5-ml,/produkt/roza-damascenska-absolut-bio,301
